""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000027412"	481.751270977621	0.554712732111246	0.345371408795982	1.60613391260458	0.10824449008016	0.381053957726167
"ENSMUSG00000044646"	142.369900520595	2.20204317887275	0.419846517906459	5.24487660360533	1.56386957412206e-07	2.4826017944563e-05
"ENSMUSG00000020593"	717.101634961891	-0.18453482896109	0.307372622581814	-0.600361956152983	0.548265036306738	0.80502239436685
"ENSMUSG00000037428"	1184.70126160825	-0.319174611878185	0.550625569582254	-0.579658173376029	0.562145154808689	0.813517150153316
"ENSMUSG00000037731"	31.106141992246	-0.257534054873441	0.817420392214694	-0.315057046932346	0.752718340490673	0.910584564512709
"ENSMUSG00000025578"	22.3250315230096	-1.32380865370012	0.980372409506547	-1.35031202516851	0.176915916684068	0.490634229406478
"ENSMUSG00000053411"	2873.48745329962	-0.0313234965270824	0.205455146500206	-0.15245905036042	0.878824885896808	0.962531243181413
"ENSMUSG00000089715"	1485.89240160025	-0.630725144837414	0.351195448611247	-1.79593769603658	0.0725044264088656	0.308867633226718
"ENSMUSG00000009575"	8906.68355803412	-1.13252890604843	0.451255336505688	-2.50972966839175	0.0120823617565903	0.119641561162927
"ENSMUSG00000039989"	41.2990893090602	0.305249655096989	0.790519201864338	0.386138191680983	0.699394326237974	0.884195308407652
"ENSMUSG00000025577"	1172.40298447501	-0.498875778588002	0.22557176623092	-2.21160558754192	0.0269939290140458	0.18690742683956
"ENSMUSG00000018666"	3928.88902150452	-0.0763567833672807	0.38745021503437	-0.197075083209096	0.843768781757157	0.949321806621996
"ENSMUSG00000026361"	6812.14642424067	-0.298532946460287	0.271614118333021	-1.09910688108731	0.27172144885206	0.592246326795346
"ENSMUSG00000035125"	270.243797770924	-0.4584748673594	0.507994891201633	-0.90251865776623	0.366781414752139	0.679162379424133
"ENSMUSG00000027074"	260.10789588543	0.240851232476142	0.362396053185249	0.664607769204993	0.506301398724711	0.779533577760834
"ENSMUSG00000038178"	1045.16442467208	0.175980359555771	0.254173494047183	0.692363144376901	0.48870930485791	0.765753790328016
"ENSMUSG00000027075"	473.48370339528	-1.55193021541291	0.430267715044456	-3.60689440817691	0.000309883689280813	0.010203833882192
"ENSMUSG00000063785"	3173.31789781161	-0.255077432017093	0.288576447480957	-0.883916321805596	0.376741385677579	0.686768625335861
"ENSMUSG00000020993"	648.781568646898	-0.12871231348847	0.309418790073351	-0.415980921707946	0.677423963769432	0.872738307886805
"ENSMUSG00000022780"	9.99316661269244	0.786872114913869	1.07308727075859	0.733278770847416	0.463388420276021	0.749237648899481
"ENSMUSG00000005312"	10949.8909740021	0.346018559091531	0.303055977796324	1.14176450703137	0.253551919252568	0.577528544668174
"ENSMUSG00000089865"	2.29847655194615	-0.753642872228145	1.77095917300825	-0.425556322085035	0.670431172947106	NA
"ENSMUSG00000087077"	28.403268537555	-1.04467807990079	0.66799004851099	-1.56391263946144	0.117838085805634	0.396766280874028
"ENSMUSG00000021464"	1336.47725863367	0.500593376966977	0.273765363969706	1.82854897971085	0.0674672018192632	0.296552862324777
"ENSMUSG00000028412"	2339.24586137007	-0.0433780218097684	0.280582480074875	-0.15459989447022	0.877136753197307	0.961963274191625
"ENSMUSG00000057193"	2031.85619547453	0.190368041701038	0.265648623725814	0.716615953175514	0.473611098116862	0.757105042474073
"ENSMUSG00000039865"	101.269943839979	0.0361041609732684	0.62774982166524	0.0575136140660214	0.954136061603539	0.987744867222551
"ENSMUSG00000007034"	209.909838121599	1.18351371668669	0.455032839903647	2.6009413231302	0.00929683539233986	0.102339835439327
"ENSMUSG00000032238"	103.780226559193	-0.95368307612906	0.952679160604749	-1.00105378134195	0.3168008080909	0.635582411443244
"ENSMUSG00000049493"	400.434781223006	0.985994872976828	0.469250570577156	2.10121187868584	0.0356223711243468	0.213182928145347
"ENSMUSG00000016382"	1980.57647811402	-0.769367832487143	0.242257579891381	-3.1758256349795	0.00149410727314824	0.0312953219254841
"ENSMUSG00000026553"	13134.1429979232	0.330454661904191	0.359936719912333	0.918090996619288	0.358571228027689	0.673258552027587
"ENSMUSG00000055681"	4303.86880234811	-0.173647241003966	0.309719800715079	-0.560659152572909	0.575029918282127	0.820913937921611
"ENSMUSG00000022792"	2033.18956891017	0.239176449796616	0.309818380153508	0.771989220517225	0.440120811948714	0.73390778029617
"ENSMUSG00000015749"	3241.76935926741	-0.473215638127456	0.445919612132522	-1.06121288513057	0.288593164947372	0.609175423986131
"ENSMUSG00000028333"	23167.0793254709	-0.723813981260127	0.267067557688871	-2.71022803190254	0.00672369646614343	0.0835255901201887
