""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000062014"	1775.19732205769	0.0852587402033268	0.289253656115901	0.294754235255593	0.768181628928279	0.888567439928921
"ENSMUSG00000006442"	12357.2576253135	0.203290934243491	0.291817324005135	0.696637648009935	0.486029588802304	0.710859288291056
"ENSMUSG00000042616"	94.7875793683563	-0.793731720229372	0.567652288576601	-1.39827097714988	0.162031709792344	0.394737370925854
"ENSMUSG00000075020"	21.391177928742	-1.44851090849342	1.03684643454545	-1.39703514448447	0.162403002942859	0.395005009183754
"ENSMUSG00000042737"	794.839393321512	0.199588379049953	0.361304017930763	0.552411180459665	0.580666672241198	0.776544492472101
"ENSMUSG00000026810"	375.613909145893	0.61222810144475	0.393974133465701	1.55398045059233	0.120189079870315	0.334115687593433
"ENSMUSG00000033255"	109.261225829771	-0.914697273378055	0.53541853723616	-1.70837804402466	0.0875662185225087	0.2803245218259
"ENSMUSG00000023009"	1460.30714160493	0.747001217827442	0.338447178675087	2.20714269432445	0.0273040918259472	0.141173627047637
"ENSMUSG00000050473"	7.25208650862293	-2.1470985289004	1.43757238332945	-1.49355855315451	0.135291039318416	0.356954848507011
"ENSMUSG00000008892"	9811.57365028374	0.616948361808111	0.443796991851322	1.39015895361183	0.164480614579229	0.398043314679535
"ENSMUSG00000021771"	18440.96436761	0.151415421227938	0.303898812983877	0.498242884666913	0.618312859234713	0.800984369273064
"ENSMUSG00000020402"	11433.6022726699	-0.726369814314709	0.350990462434566	-2.06948590362373	0.0385005127724831	0.174141404824468
"ENSMUSG00000028048"	1107.59413879234	-0.0114262832909254	0.298922519200091	-0.038224899621152	0.969508368373571	0.987722109271699
"ENSMUSG00000027180"	1078.07164130376	-0.746895962315228	0.243012677244104	-3.07348559254371	0.00211573903637429	0.0305889708010317
"ENSMUSG00000055254"	120.124565978966	0.274755057997533	0.505493235825546	0.543538545177201	0.586759059368391	0.780484940436233
"ENSMUSG00000059146"	45.936343737436	2.06380241923309	0.575420430672789	3.5865991355574	0.000335018734265188	0.0103479079728256
"ENSMUSG00000032253"	3919.59312309681	0.00404594121960959	0.240023456529011	0.0168564409417234	0.986551142917678	0.995626852277135
"ENSMUSG00000099792"	80.7229442625079	1.57093878333211	0.555080836814599	2.8301081196518	0.00465322763439617	0.0478214690287432
"ENSMUSG00000022969"	76.1184725854184	-1.15805733686691	0.752313443592732	-1.53932825038525	0.123724180512895	0.33899632074267
"ENSMUSG00000101698"	1451.84968987856	-0.561905545932033	0.442661590142646	-1.26937949540858	0.204305745747856	0.449170500052691
"ENSMUSG00000001741"	9.48535594911976	-4.41331266489835	1.96923253763748	-2.24113332506331	0.025017440135273	0.134457814172177
"ENSMUSG00000030934"	3294.26737687237	0.735608747302071	0.390322489819026	1.8846178903069	0.0594814451615071	0.224912386793093
"ENSMUSG00000034845"	90.1861300704498	-1.25407093877342	0.547695767877744	-2.28972179871463	0.0220374489265312	0.124442011522725
"ENSMUSG00000038628"	1594.66212023099	1.03651037285181	0.363739920695536	2.8495920130785	0.00437753416916889	0.0462149832465037
"ENSMUSG00000042417"	202.948188285229	-0.0382498387252775	0.513475194138774	-0.0744920867880131	0.940618837502644	0.974250822063543
"ENSMUSG00000000093"	37.9328380655836	-0.256462089268027	0.824347735697998	-0.311109108646818	0.755717676831303	0.881310789876422
"ENSMUSG00000014030"	4.56069177565809	-0.629644776724128	1.58972991464285	-0.396070282709364	0.692053180420265	0.843900972640875
"ENSMUSG00000049092"	34.6237556178693	-0.454865143665511	0.925928401949751	-0.491253041496178	0.62324748805426	0.802851119133732
"ENSMUSG00000018604"	1811.23216993105	-0.391867429265171	0.425159610698284	-0.921694863304551	0.3566877606817	0.606870368236533
"ENSMUSG00000026771"	3942.95852635004	0.016305649900342	0.339954260379222	0.0479642463728881	0.961744737055497	0.984738976565422
"ENSMUSG00000100896"	0	NA	NA	NA	NA	NA
"ENSMUSG00000049420"	309.686773212109	1.22547888113013	0.560004196292415	2.18833874682293	0.0286449364839921	0.145103235193326
"ENSMUSG00000066037"	3537.45615575262	0.22296241045043	0.26363220314637	0.845732834568165	0.397701801707998	0.639808591756681
"ENSMUSG00000018796"	779.2226370635	-0.923585047267078	0.419204448733637	-2.20318522395721	0.027581696323117	0.141941001285442
"ENSMUSG00000020333"	145.762817314684	-1.7366990198208	0.497125978568527	-3.4934787049786	0.000476771007462074	0.0131900928719094
"ENSMUSG00000039630"	38920.9510857343	-0.110760374954095	0.448791727985081	-0.246796828121968	0.805065465369843	0.909398716332467
"ENSMUSG00000031278"	1371.7739118788	-0.266713249982778	0.318036882173568	-0.838623646917843	0.401680536682928	0.642813102397917
"ENSMUSG00000024981"	1023.63464502635	0.123545527672004	0.275312319799329	0.448746818747723	0.653614306435176	0.822673697863177
"ENSMUSG00000021546"	24866.6066884457	-1.31895061143117	0.41432791890013	-3.18334959162887	0.00145581726921253	0.0245004171061566
"ENSMUSG00000015165"	8898.59733564706	-1.1974940162845	0.391321112387151	-3.06013138156412	0.00221239916507038	0.0311355205463061
"ENSMUSG00000059208"	20158.0513529327	-0.273291544644234	0.512268075500448	-0.533493219106517	0.593692203737538	0.784625959825574
"ENSMUSG00000060373"	27547.5910704802	0.145193274440064	0.294513033506452	0.492994393869102	0.622016548538187	0.802851119133732
"ENSMUSG00000000568"	31684.8092513874	0.155409874776647	0.215147029718921	0.722342646234449	0.470083839429517	0.697149018328657
"ENSMUSG00000042079"	27053.8801851496	-0.501209555685503	0.378856658346228	-1.32295300780344	0.185851005715825	0.4265218940146
"ENSMUSG00000069301"	190.435411044295	2.52416700185992	0.659991596417807	3.82454415413798	0.0001310142657111	0.005460218105342
"ENSMUSG00000096436"	105.160188464637	-22.8351353406104	4.40805088794718	-5.18032480138738	2.21499879184083e-07	3.21425579397128e-05
"ENSMUSG00000027580"	141.204046536354	-2.85388179941068	0.605004736995927	-4.71712306515361	2.39203012222442e-06	0.000235860303461898
"ENSMUSG00000081683"	1024.37052930269	0.335481265309118	0.401393608630107	0.835791248530494	0.403272350659256	0.644682529395207
"ENSMUSG00000008140"	3852.09529184316	0.416422140495123	0.264734549403713	1.572979958351	0.115723458946456	0.327156450195623
"ENSMUSG00000037966"	1716.44839281039	0.483935457929197	0.317277875597379	1.52527325461326	0.127190955792153	0.344752756894699
"ENSMUSG00000041377"	89.5899428644973	0.742473788274509	0.724615006307007	1.02464589031701	0.30553030302035	0.558235703930459
"ENSMUSG00000043740"	1.40670430209617	-0.929750027555612	2.84872726430959	-0.32637382988678	0.744141535161804	0.875820204413317
"ENSMUSG00000022057"	204.035456292697	-11.3178808194163	4.40762377717547	-2.56779647982322	0.010234722592371	0.0770937574646332
"ENSMUSG00000075256"	37.1897622621773	2.40872279460737	0.768030193133903	3.13623450762882	0.00171132303607235	0.0271657078853095
"ENSMUSG00000031157"	3008.73756847659	0.0473502027370475	0.374712061791698	0.126364234208637	0.899443612130735	0.954681316712322
"ENSMUSG00000024571"	8387.19152466349	0.995596404830581	0.323554385568475	3.07706045486402	0.00209052897922411	0.0303936831365078
"ENSMUSG00000036611"	195.763083356151	-0.262932656068041	0.447732701025658	-0.587253634737243	0.5570333754972	0.762420517346129
"ENSMUSG00000052525"	22.1790841651571	-0.192949367047649	1.2871288016675	-0.149906805595274	0.880838142306172	0.947803318565888
"ENSMUSG00000037740"	2436.24852286833	0.701524229339601	0.372883783526405	1.88134818496317	0.0599245703719503	0.225704786734617
