	color
Blastocyst (Late) TE	#fbcc8c
Blastocyst (Mid) ICM	#fbcc8c
Blastocyst (Mid) TE	#fbcc8c
ESCs (B6J)	#fbcc8c
ESCs (E14)	#fbcc8c
ESCs (PDL)	#fbcc8c
ESCs (V6.5)	#fbcc8c
ESCs (ZHBTc4)	#fbcc8c
ESCs (groundstate)	#fbcc8c
Ectoplacental cone	#fbcc8c
EpiSC	#fbcc8c
EpiSC (region-selective)	#fbcc8c
Epiblast (E6.5) anterior-dorsal	#fbcc8c
Epiblast (E6.5) anterior-proximal	#fbcc8c
Epiblast (E6.5) posterior-dorsal	#fbcc8c
Epiblast (E6.5) posterior-proximal	#fbcc8c
Inner cell mass (E3.5)	#fbcc8c
Inner cell mass (E3.75)	#fbcc8c
Morula	#fbcc8c
Morula (single-cell)	#fbcc8c
Naive ESC (Hex+)	#fbcc8c
Naive ESC (Hex-)	#fbcc8c
Naive ESCs (2iL)	#fbcc8c
Naive ESCs (2iLGO)	#fbcc8c
Oocytes	#fbcc8c
PGC (female)	#fbcc8c
PGC (male)	#fbcc8c
Placenta	#fbcc8c
Polyploid trophoblast giant cells (E9.5)	#fbcc8c
Pronuclei	#fbcc8c
Trophoblast stem cells	#fbcc8c
XEN cells	#fbcc8c
Zygote	#fbcc8c
Caecum (E13.5)	#843487
Colon	#843487
Colon epithelial cells	#843487
Ileum	#843487
Intestinal stem cell	#843487
Intestine	#843487
Large intestine	#843487
Liver	#843487
Lung	#843487
Medullary thymic epithelial	#843487
Medullary thymic epithelial cell (immature)	#843487
Medullary thymic epithelial cell (mature)	#843487
Pancreatic cell (alpha)	#843487
Pancreatic cell (beta)	#843487
Prostate basal cells	#843487
Prostate luminal cells	#843487
Small intestine cells	#843487
Mature sperm	#f0f0a6
Spermatids	#f0f0a6
Spermatids (elongated)	#f0f0a6
Spermatids (round)	#f0f0a6
Spermatocytes	#f0f0a6
Spermatogonia	#f0f0a6
Testicular cells	#f0f0a6
Adipocytes (brown)	#64bb79
Adipocytes (cultured, brown)	#64bb79
Adipocytes (cultured, white)	#64bb79
Adipocytes (white)	#64bb79
Adipose	#64bb79
Adrenal medulla	#64bb79
Atrioventricular canal (E12.5)	#64bb79
Carotid body	#64bb79
Chondrocyte (Rib)	#64bb79
Cortical thymic epithelial	#64bb79
Dermal fibroblast	#64bb79
Embryonic kidney fibroblast	#64bb79
Epididymis	#64bb79
Fatpad	#64bb79
Heart	#64bb79
Intestinal subepithelial myofibroblasts (adult)	#64bb79
Intestinal subepithelial myofibroblasts (neonatal)	#64bb79
Kidney	#64bb79
Lung fibroblasts	#64bb79
MEF	#64bb79
MSC (bone)	#64bb79
MSC (skin)	#64bb79
MSC (thymus)	#64bb79
Mammary tissue	#64bb79
Myoblast	#64bb79
Neonatal tail fibroblast	#64bb79
Oviduct	#64bb79
Skeletal muscle	#64bb79
Somatic gonadal cell	#64bb79
Striated muscle	#64bb79
Tail fibroblast	#64bb79
Uterus	#64bb79
Vas deferens	#64bb79
pre-Adipocytes (brown)	#64bb79
pre-Adipocytes (white)	#64bb79
Caudal brain neural epithelium (E8.5)	#c8b1ce
Central neural epithelium (E10.5)	#c8b1ce
Cranial mesenchyme (E9.5)	#c8b1ce
Dorsal control neural epithelium (E10.5)	#c8b1ce
Epidermal ectoderm (E9.5)	#c8b1ce
Floor plate (E8.5)	#c8b1ce
Lateral nasal prominence (E10.5)	#c8b1ce
Lateral prominence neural epithelium (E10.5)	#c8b1ce
Lower molar	#c8b1ce
Mandibular arch (E10.5)	#c8b1ce
Mandibular arch (E9.5)	#c8b1ce
Maxillary arch (E10.5)	#c8b1ce
Maxillary arch (E9.5)	#c8b1ce
Mesoderm (E8.5)	#c8b1ce
Non-floor plate neural epithelium (E8.5)	#c8b1ce
Olfactory pit (E10.5)	#c8b1ce
Upper molar	#c8b1ce
Astrocyte	#5888c2
Brain	#5888c2
Cerebellar granular neurons	#5888c2
Cerebellum	#5888c2
Cortex	#5888c2
Cortex neuron	#5888c2
Cortical neurons (E16.5)	#5888c2
Dentate gyrus	#5888c2
Dorsal root ganglia	#5888c2
Eye	#5888c2
Frontal cortex	#5888c2
Hippocampus	#5888c2
Hippocampus neuron	#5888c2
Hippocampus tissue	#5888c2
Medial ganglionic eminence neurons	#5888c2
Motor neurons	#5888c2
Neocortex cortical plate	#5888c2
Neocortex subventricular zone	#5888c2
Neocortex ventricular zone	#5888c2
Neural progenitor cell	#5888c2
Neuron	#5888c2
Nucleus accumbens	#5888c2
Olfactory bulb	#5888c2
Oligodendrocyte (myelinating)	#5888c2
Oligodendrocyte (newly formed)	#5888c2
Oligodendrocyte (precursor)	#5888c2
Pineal gland	#5888c2
Retina	#5888c2
Spinal cord	#5888c2
Striatum	#5888c2
Substantia nigra	#5888c2
Subventricular zone	#5888c2
Telencephalon	#5888c2
Ventral tegmental	#5888c2
White-matter glia	#5888c2
Zona limitans intrathalamica	#5888c2
Basal epidermis (E14.5)	#9edce4
Dermis (E18.5)	#9edce4
Epidermis (E18.5)	#9edce4
Hair follicle	#9edce4
Hair follicle stem cells	#9edce4
Hair follicle transit amplifying cells	#9edce4
Keratinocyte	#9edce4
Skin (E16.5)	#9edce4
Skin epithelial	#9edce4
Suprabasal epidermis (E14.5)	#9edce4
