ensg	ivd ESCs (cardio)	ivd cardiomyocytes	ivd ESCs (mneu)	ivd motor neurons	ivd ESCs (ra)	ivd retinoic acid
ENSMUSG00000086316	733.0	841.0	925.0	1154.0	549.0	665.0
ENSMUSG00000037466	1205.0	57.0	600.5	145.5	1448.0	467.5
ENSMUSG00000021282	6133.0	6888.0	5028.5	7773.5	10422.0	9381.0
ENSMUSG00000056972	10.0	48.0	79.0	454.5	17.5	32.5
ENSMUSG00000078868	175.0	27.0	203.5	34.5	295.5	97.0
ENSMUSG00000097483	554.0	17.0	207.0	0.0	346.5	49.5
ENSMUSG00000021725	29.0	235.0	163.0	648.0	22.0	344.0
ENSMUSG00000003865	2428.0	7715.0	762.0	749.5	969.0	935.0
ENSMUSG00000038002	776.0	1698.0	527.5	1019.0	1242.5	1551.0
ENSMUSG00000038024	1039.0	1307.0	451.5	418.0	829.0	982.0
ENSMUSG00000015023	1653.0	3170.0	1839.0	1545.5	2663.5	3130.0
ENSMUSG00000021149	5481.0	2215.0	6607.0	2648.5	5552.0	2718.0
ENSMUSG00000020994	3002.0	2085.0	2270.0	2740.5	4913.5	3765.5
ENSMUSG00000078495	2679.0	1089.0	5218.5	356.5	3535.5	869.0
ENSMUSG00000094595	600.0	438.0	303.5	179.0	499.0	379.5
ENSMUSG00000060548	76.0	345.0	1327.0	90.5	196.0	1061.5
ENSMUSG00000022607	2066.0	1714.0	1925.0	2273.5	1646.0	2691.5
ENSMUSG00000002803	282.0	189.0	422.5	303.0	241.0	180.0
ENSMUSG00000097346	11371.0	16986.0	6763.0	2215.5	4936.5	1978.0
ENSMUSG00000046338	228.0	39.0	75.5	14.5	186.0	63.0
ENSMUSG00000007739	35409.0	13507.0	26394.0	13273.0	21546.0	11947.0
ENSMUSG00000059119	4855.0	3883.0	4949.5	8405.5	4876.5	4807.5
ENSMUSG00000050002	86.0	150.0	573.5	1199.0	129.5	113.5
ENSMUSG00000061374	2438.0	749.0	3145.5	1247.0	2589.0	885.5
ENSMUSG00000032267	5224.0	3344.0	1165.0	681.0	5099.5	552.5
ENSMUSG00000041268	899.0	396.0	335.0	1758.5	760.0	543.5
ENSMUSG00000032300	891.0	1114.0	1605.5	256.5	1531.5	3090.0
ENSMUSG00000038160	699.0	283.0	1559.5	1030.5	458.0	210.5
ENSMUSG00000095440	591.0	2301.0	804.0	1657.5	157.0	1732.5
ENSMUSG00000031378	192.0	358.0	123.5	434.0	149.0	167.0
ENSMUSG00000024271	5091.0	3350.0	4777.5	4567.5	3635.0	3211.0
ENSMUSG00000032193	1485.0	1951.0	1657.5	1055.0	2518.5	4932.5
ENSMUSG00000004285	2176.0	1495.0	5015.5	2732.5	1638.0	1210.0
ENSMUSG00000024769	2948.0	746.0	654.0	91.0	2240.5	3684.5
ENSMUSG00000015143	6738.0	9739.0	3556.5	697.0	7224.5	17985.0
ENSMUSG00000097230	155.0	168.0	342.5	734.0	481.5	321.5
ENSMUSG00000035765	643.0	989.0	832.5	566.5	792.0	807.5
ENSMUSG00000097263	46.0	64.0	314.0	633.5	227.5	121.5
ENSMUSG00000021764	2105.0	1483.0	3049.0	2141.0	1565.0	1057.5
ENSMUSG00000062038	468.0	0.0	1245.5	663.5	643.0	325.5
ENSMUSG00000060098	3445.0	924.0	3116.0	2171.5	3124.0	1360.5
ENSMUSG00000030513	2207.0	549.0	272.5	1008.5	2474.5	450.0
ENSMUSG00000037351	2940.0	3201.0	2956.5	4619.5	1972.0	3931.5
ENSMUSG00000097839	828.0	284.0	2922.0	390.0	1527.0	625.0
ENSMUSG00000020868	886.0	708.0	389.5	278.5	433.5	479.0
ENSMUSG00000041837	931.0	335.0	694.5	335.0	992.5	416.5
ENSMUSG00000031446	2284.0	4091.0	1491.5	2130.5	1490.0	2384.0
ENSMUSG00000022619	296.0	195.0	661.0	3528.0	213.0	29.0
ENSMUSG00000031600	807.0	670.0	632.5	1092.5	829.0	1006.0
ENSMUSG00000039100	3261.0	6637.0	1614.5	4788.5	2234.0	4150.0
ENSMUSG00000013662	1936.0	3642.0	5058.0	3980.0	1763.0	1874.0
ENSMUSG00000033417	3169.0	2613.0	3970.5	2471.0	3969.5	3636.0
ENSMUSG00000038280	525.0	511.0	294.0	899.0	214.0	290.0
ENSMUSG00000026966	603.0	446.0	1638.5	1728.0	800.5	457.0
ENSMUSG00000097695	69896.0	3078.0	26615.5	11088.5	69896.0	107864.0
ENSMUSG00000004460	1703.0	666.0	1591.5	1533.5	2559.0	3658.0
ENSMUSG00000023988	2315.0	246.0	2667.0	1151.5	3090.5	1501.5
