ensg	shChd4	shMcrs1	shLuc
ENSMUSG00000035954	320.6666666666667	573.5	461.0
ENSMUSG00000044447	1727.666666666667	1302.0	1932.0
ENSMUSG00000004668	17.0	0.0	80.0
ENSMUSG00000027195	3352.666666666666	4948.5	3782.5
ENSMUSG00000025260	2104.333333333333	1641.0	1101.5
ENSMUSG00000029311	1715.0	3687.0	1280.5
ENSMUSG00000021139	323.0	584.5	438.5
ENSMUSG00000026500	167.33333333333334	183.5	58.0
ENSMUSG00000001855	6303.333333333332	6874.0	6524.0
ENSMUSG00000030091	2753.0	2599.5	3448.5
ENSMUSG00000062624	0.0	0.0	0.5
ENSMUSG00000075144	1070.6666666666667	1406.5	786.0
ENSMUSG00000075143	0.0	0.5	0.5
ENSMUSG00000047039	0.0	0.0	0.0
ENSMUSG00000045225	1146.3333333333333	660.5	1708.0
ENSMUSG00000024354	121.0	103.0	81.5
ENSMUSG00000027340	1150.3333333333333	871.5	1464.0
ENSMUSG00000022641	1864.333333333333	1892.0	2033.0
ENSMUSG00000027001	465.0	794.0	530.0
ENSMUSG00000047205	144.66666666666666	145.0	116.5
ENSMUSG00000018648	537.0	1437.5	554.0
ENSMUSG00000020604	52.33333333333334	22.5	67.5
ENSMUSG00000030203	1583.333333333333	1569.5	1633.0
ENSMUSG00000030002	1285.0	1215.0	806.5
ENSMUSG00000039384	299.3333333333333	337.5	417.0
ENSMUSG00000021768	1.3333333333333333	8.0	6.5
ENSMUSG00000026659	1417.666666666667	3293.0	1341.0
ENSMUSG00000020097	3297.0	5804.0	6355.5
ENSMUSG00000096996	32.666666666666664	32.5	23.0
ENSMUSG00000096990	176.0	137.5	209.5
ENSMUSG00000097837	26.0	11.5	7.0
ENSMUSG00000054793	124.0	113.0	695.0
ENSMUSG00000064115	463.0	743.5	1121.5
ENSMUSG00000005338	185.0	437.0	200.5
ENSMUSG00000032076	1192.3333333333333	1605.0	1161.0
ENSMUSG00000043424	6762.0	8304.5	4092.0
ENSMUSG00000027236	309.3333333333333	520.5	725.0
ENSMUSG00000046550	110.33333333333331	96.0	28.5
ENSMUSG00000011751	882.6666666666665	800.0	1065.0
ENSMUSG00000067889	1490.333333333333	660.0	2753.5
ENSMUSG00000020315	6700.333333333332	4693.0	9529.0
ENSMUSG00000023087	4351.333333333333	2983.5	4875.0
ENSMUSG00000038894	1778.666666666667	2071.0	1118.5
ENSMUSG00000002076	1842.666666666667	1009.0	2133.5
ENSMUSG00000029050	4354.0	3198.5	4320.5
ENSMUSG00000027281	357.33333333333326	152.5	413.0
ENSMUSG00000032010	205.33333333333331	93.0	286.5
ENSMUSG00000065952	117.0	118.5	107.0
ENSMUSG00000032376	1479.0	1967.5	2145.5
ENSMUSG00000027519	1303.3333333333333	1419.0	1302.5
ENSMUSG00000029394	7550.666666666668	7592.0	5689.5
ENSMUSG00000024856	797.6666666666665	819.0	799.5
ENSMUSG00000020629	1735.333333333333	1492.5	923.5
ENSMUSG00000039278	2139.333333333333	2604.0	1700.0
ENSMUSG00000036412	19.33333333333333	29.0	33.0
ENSMUSG00000006494	6168.0	3861.0	9997.0
